('accidently', 0.43106609582901)
('accidentally', 0.43036210536956787)
('faced', 0.37393918633461)
('heartburn', 0.35258886218070984)
('late', 0.3496732711791992)
('smelled', 0.34707093238830566)
('reaction', 0.34680527448654175)
('ants', 0.34131842851638794)
('miss', 0.3398892283439636)
('missed', 0.33822765946388245)
('death', 0.3338128924369812)
('yanked', 0.3326524496078491)
('burned', 0.32609450817108154)
('blame', 0.3260068893432617)
('ignore', 0.32369059324264526)
('ugh', 0.32099807262420654)
('glitch', 0.32078951597213745)
('occurred', 0.32053229212760925)
('overboard', 0.31986045837402344)
('happened', 0.3152543902397156)
